Request_ID,Create_Date,Close_Date,Status,Request_Type,Department,Origin,District,Latitude,Longitude,Create_Date_ISO,Close_Date_ISO
527218,1770224160000,1770395640000,Closed,Nuisance,Code Enforcement,Call Center,3,32.370876,-86.2815383,2026-02-04T16:56:00+00:00,2026-02-06T16:34:00+00:00
527217,1770223500000,,In Progress,Street Paving Request,Street Maintenance,Call Center,9,32.3581721,-86.2018813,2026-02-04T16:45:00+00:00,
527216,1770222120000,,In Progress,COM Roofing,Building Maintenance,Call Center,3,32.3794684,-86.293918,2026-02-04T16:22:00+00:00,
527215,1770221700000,,In Progress,Replace Inlet(Storm Drain) Tops,Street Maintenance,Call Center,3,32.4149436,-86.2867128,2026-02-04T16:15:00+00:00,
527214,1770221100000,1770230520000,Closed,COM Electrical,Building Maintenance,Call Center,3,32.3872602,-86.2980451,2026-02-04T16:05:00+00:00,2026-02-04T18:42:00+00:00
527213,1770220800000,1770230580000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.3821668,-86.2911497,2026-02-04T16:00:00+00:00,2026-02-04T18:43:00+00:00
527212,1770220800000,,Open,Tree Issues On City R.O.W.,Urban Forestry,Call Center,7,32.3418046,-86.2887709,2026-02-04T16:00:00+00:00,
527211,1770220500000,1770302640000,Closed,Internal/Sanitation,Sanitation Department,Call Center,3,32.3794684,-86.293918,2026-02-04T15:55:00+00:00,2026-02-05T14:44:00+00:00
527210,1770220440000,1770221040000,Closed,COM Paint,Building Maintenance,Call Center,3,32.3796001,-86.3086865,2026-02-04T15:54:00+00:00,2026-02-04T16:04:00+00:00
527209,1770220380000,1770305520000,Closed,COM Plumbing,Building Maintenance,Call Center,9,32.3510269,-86.2064199,2026-02-04T15:53:00+00:00,2026-02-05T15:32:00+00:00
527208,1770220260000,,Open,Exchange Damage Container,Sanitation Department,Call Center,1,32.3745533,-86.2306135,2026-02-04T15:51:00+00:00,
527207,1770220140000,1770220140000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-04T15:49:00+00:00,2026-02-04T15:49:00+00:00
527206,1770219900000,1770233220000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.381829,-86.3108709,2026-02-04T15:45:00+00:00,2026-02-04T19:27:00+00:00
527205,1770219840000,1770219840000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-04T15:44:00+00:00,2026-02-04T15:44:00+00:00
527204,1770218940000,1770395520000,Closed,Nuisance,Code Enforcement,Call Center,7,32.3416435,-86.2847336,2026-02-04T15:29:00+00:00,2026-02-06T16:32:00+00:00
527203,1770218400000,1770218400000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-04T15:20:00+00:00,2026-02-04T15:20:00+00:00
527202,1770218040000,1770222120000,Closed,COM Electrical,Building Maintenance,Call Center,3,32.3822548,-86.2909541,2026-02-04T15:14:00+00:00,2026-02-04T16:22:00+00:00
527201,1770217920000,1770217920000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-04T15:12:00+00:00,2026-02-04T15:12:00+00:00
527200,1770217380000,1770315600000,Closed,Nuisance,Code Enforcement,Call Center,3,32.3952011,-86.2789833,2026-02-04T15:03:00+00:00,2026-02-05T18:20:00+00:00
527199,1770216900000,,Open,Traffic Issues for Montgomery Police Dept,Police Department,Website,9,32.37871,-86.1946169,2026-02-04T14:55:00+00:00,
527198,1770216600000,1770216600000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-04T14:50:00+00:00,2026-02-04T14:50:00+00:00
527197,1770215880000,1770220860000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.381554,-86.2911666,2026-02-04T14:38:00+00:00,2026-02-04T16:01:00+00:00
527196,1770215460000,1770215460000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-04T14:31:00+00:00,2026-02-04T14:31:00+00:00
527195,1770215400000,1770215400000,Closed,Ask 3-1-1,FAQ,Call Center,3,32.3872602,-86.2980451,2026-02-04T14:30:00+00:00,2026-02-04T14:30:00+00:00
527194,1770215100000,,In Progress,COM Carpentry,Building Maintenance,Call Center,6,32.3213784,-86.2200405,2026-02-04T14:25:00+00:00,
527193,1770214980000,1770214980000,Closed,FAQ-City Council Members,FAQ,Call Center,5,32.3494581,-86.2251066,2026-02-04T14:23:00+00:00,2026-02-04T14:23:00+00:00
527191,1770214800000,1770214800000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-04T14:20:00+00:00,2026-02-04T14:20:00+00:00
527192,1770214800000,1770215100000,Closed,Street Light Out,Traffic Engineering,Call Center,6,32.32066,-86.2071047,2026-02-04T14:20:00+00:00,2026-02-04T14:25:00+00:00
527190,1770214680000,1770216300000,Closed,Check the timing for an approach of an existing signalized intersection,Traffic Engineering,Call Center,5,32.326749,-86.2820945,2026-02-04T14:18:00+00:00,2026-02-04T14:45:00+00:00
527189,1770214620000,1770216000000,Closed,Stop Sign or Yield Sign Missing/Damaged,Traffic Engineering,Call Center,7,32.341851,-86.292283,2026-02-04T14:17:00+00:00,2026-02-04T14:40:00+00:00
527187,1770214440000,1770214440000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-04T14:14:00+00:00,2026-02-04T14:14:00+00:00
527188,1770214440000,1770214440000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-04T14:14:00+00:00,2026-02-04T14:14:00+00:00
527186,1770214380000,1770214380000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-04T14:13:00+00:00,2026-02-04T14:13:00+00:00
527185,1770214140000,1770220740000,Closed,Fire Plumbing,Building Maintenance,Call Center,7,32.3730314,-86.3204948,2026-02-04T14:09:00+00:00,2026-02-04T15:59:00+00:00
527184,1770211740000,,In Progress,Request A New Container,Sanitation Department,Call Center,8,32.3112297,-86.1469049,2026-02-04T13:29:00+00:00,
527183,1770210780000,1770388680000,Closed,Graffiti - City Property,Building Maintenance,Call Center,9,32.3774297,-86.1815442,2026-02-04T13:13:00+00:00,2026-02-06T14:38:00+00:00
527182,1770164820000,1770298440000,Closed,Demolition(House),Code Enforcement,Website,3,32.4173934,-86.2778421,2026-02-04T00:27:00+00:00,2026-02-05T13:34:00+00:00
527181,1770158820000,1770208980000,Closed,Residential Trash Container Issues,Sanitation Department,Citibot,5,32.3512958,-86.2284028,2026-02-03T22:47:00+00:00,2026-02-04T12:43:00+00:00
527180,1770156540000,1770156540000,Closed,Animal Control Issues,FAQ,Call Center,,0.0,0.0,2026-02-03T22:09:00+00:00,2026-02-03T22:09:00+00:00
527179,1770156360000,1770156360000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T22:06:00+00:00,2026-02-03T22:06:00+00:00
527178,1770156120000,1770385620000,Closed,Internal/Sanitation,Sanitation Department,Call Center,3,32.3791945,-86.3079207,2026-02-03T22:02:00+00:00,2026-02-06T13:47:00+00:00
527177,1770155340000,1770155340000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T21:49:00+00:00,2026-02-03T21:49:00+00:00
527176,1770155100000,1770155100000,Closed,Ask 3-1-1,FAQ,Call Center,5,32.3592942,-86.2348139,2026-02-03T21:45:00+00:00,2026-02-03T21:45:00+00:00
527175,1770155100000,1770155100000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T21:45:00+00:00,2026-02-03T21:45:00+00:00
527174,1770154440000,1770154440000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T21:34:00+00:00,2026-02-03T21:34:00+00:00
527173,1770153780000,,In Progress,COM Irrigation Issues,Parks & Recreation,Call Center,7,32.3501426,-86.2925012,2026-02-03T21:23:00+00:00,
527172,1770153240000,,Open,COM Irrigation Issues,Parks & Recreation,Call Center,3,32.3821668,-86.2911497,2026-02-03T21:14:00+00:00,
527171,1770152820000,1770152820000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T21:07:00+00:00,2026-02-03T21:07:00+00:00
527170,1770152640000,1770152640000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-03T21:04:00+00:00,2026-02-03T21:04:00+00:00
527169,1770152580000,1770152580000,Closed,Inquiries(Land Use),Planning Department,Call Center,,0.0,0.0,2026-02-03T21:03:00+00:00,2026-02-03T21:03:00+00:00
527168,1770152340000,,Open,Tree Issues On City R.O.W.,Urban Forestry,Call Center,6,32.313706,-86.2095149,2026-02-03T20:59:00+00:00,
527167,1770151800000,,Open,Bulky Items and Debris In The Street,Sanitation Department,Call Center,2,32.404232,-86.1994309,2026-02-03T20:50:00+00:00,
527166,1770151440000,1770151440000,Closed,Inquiries(Sanitation Department),Sanitation Department,Call Center,6,32.3047688,-86.1997088,2026-02-03T20:44:00+00:00,2026-02-03T20:44:00+00:00
527165,1770151200000,,Open,Leaves and Debris Pick up,Sanitation Department,Call Center,3,32.4077537,-86.3075046,2026-02-03T20:40:00+00:00,
527164,1770151020000,1770151020000,Closed,FAQ-Sanitation,Sanitation Department,Call Center,9,32.3769252,-86.1973124,2026-02-03T20:37:00+00:00,2026-02-03T20:37:00+00:00
527163,1770150900000,1770150900000,Closed,Inquiries(Sanitation Department),Sanitation Department,Call Center,,0.0,0.0,2026-02-03T20:35:00+00:00,2026-02-03T20:35:00+00:00
527162,1770150360000,1770150360000,Closed,Inquiries(Land Use),Planning Department,Call Center,,0.0,0.0,2026-02-03T20:26:00+00:00,2026-02-03T20:26:00+00:00
527161,1770150000000,1770216420000,Closed,COM Carpentry,Building Maintenance,Call Center,9,32.3510269,-86.2064199,2026-02-03T20:20:00+00:00,2026-02-04T14:47:00+00:00
527160,1770149940000,1770225300000,Closed,Nuisance,Code Enforcement,Call Center,7,32.3608989,-86.279089,2026-02-03T20:19:00+00:00,2026-02-04T17:15:00+00:00
527159,1770149820000,1770234000000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.3765291,-86.3083342,2026-02-03T20:17:00+00:00,2026-02-04T19:40:00+00:00
527158,1770149760000,1770234120000,Closed,COM Paint,Building Maintenance,Call Center,3,32.3765291,-86.3083342,2026-02-03T20:16:00+00:00,2026-02-04T19:42:00+00:00
527157,1770149760000,1770315720000,Closed,Nuisance,Code Enforcement,Call Center,3,32.4147765,-86.2781442,2026-02-03T20:16:00+00:00,2026-02-05T18:22:00+00:00
527156,1770149640000,1770149640000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T20:14:00+00:00,2026-02-03T20:14:00+00:00
527155,1770149640000,,Open,Missed Pick Up,Sanitation Department,Call Center,2,32.3846432,-86.2687641,2026-02-03T20:14:00+00:00,
527154,1770149400000,,Open,Exchange Damage Container,Sanitation Department,Call Center,4,32.3145479,-86.3815665,2026-02-03T20:10:00+00:00,
527153,1770149280000,1770316800000,Closed,Open & Vacant (Abandoned House),Code Enforcement,Call Center,3,32.4147765,-86.2781442,2026-02-03T20:08:00+00:00,2026-02-05T18:40:00+00:00
527152,1770149100000,1770149100000,Closed,Ask 3-1-1,FAQ,Call Center,4,32.342572,-86.3110714,2026-02-03T20:05:00+00:00,2026-02-03T20:05:00+00:00
527151,1770148620000,1770148620000,Closed,Inquiries(Sanitation Department),Sanitation Department,Call Center,,0.0,0.0,2026-02-03T19:57:00+00:00,2026-02-03T19:57:00+00:00
527150,1770148560000,,Open,Bulky Items and Debris In The Street,Sanitation Department,Call Center,4,32.3542364,-86.3224055,2026-02-03T19:56:00+00:00,
527149,1770148440000,1770314100000,Closed,Request Cleaning,Street Maintenance,Call Center,4,32.3637507,-86.3603021,2026-02-03T19:54:00+00:00,2026-02-05T17:55:00+00:00
527148,1770148380000,1770211260000,Closed,Nuisance,Code Enforcement,Website,4,32.3658859,-86.3237926,2026-02-03T19:53:00+00:00,2026-02-04T13:21:00+00:00
527147,1770147960000,1770147960000,Closed,Animal Control Issues,FAQ,Call Center,,0.0,0.0,2026-02-03T19:46:00+00:00,2026-02-03T19:46:00+00:00
527146,1770147840000,1770312840000,Closed,Nuisance,Code Enforcement,Call Center,4,32.3646022,-86.3486792,2026-02-03T19:44:00+00:00,2026-02-05T17:34:00+00:00
527145,1770147780000,1770222420000,Closed,Utility Issues,Inspections Department,Call Center,7,32.341851,-86.292283,2026-02-03T19:43:00+00:00,2026-02-04T16:27:00+00:00
527144,1770147660000,1770229500000,Closed,City Jail Plumbing,City Jail Internal Building Maintenance,Call Center,3,32.3819047,-86.2979896,2026-02-03T19:41:00+00:00,2026-02-04T18:25:00+00:00
527143,1770147540000,1770148620000,Closed,Utility Issues,Inspections Department,Call Center,7,32.341851,-86.292283,2026-02-03T19:39:00+00:00,2026-02-03T19:57:00+00:00
527142,1770147360000,1770395580000,Closed,Nuisance,Code Enforcement,Call Center,6,32.3104479,-86.2602938,2026-02-03T19:36:00+00:00,2026-02-06T16:33:00+00:00
527141,1770147300000,1770211560000,Closed,Parking On Front Lawn,Code Enforcement,Call Center,3,32.4295331,-86.2864321,2026-02-03T19:35:00+00:00,2026-02-04T13:26:00+00:00
527140,1770147240000,1770211560000,Closed,Parking On Front Lawn,Code Enforcement,Call Center,3,32.4295331,-86.2864321,2026-02-03T19:34:00+00:00,2026-02-04T13:26:00+00:00
527139,1770147180000,1770147240000,Closed,Stop Sign or Yield Sign Missing/Damaged,Traffic Engineering,Call Center,7,32.341851,-86.292283,2026-02-03T19:33:00+00:00,2026-02-03T19:34:00+00:00
527137,1770147000000,1770147060000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.3806047,-86.2944677,2026-02-03T19:30:00+00:00,2026-02-03T19:31:00+00:00
527138,1770147000000,1770149760000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.3806047,-86.2944677,2026-02-03T19:30:00+00:00,2026-02-03T20:16:00+00:00
527136,1770146940000,1770146940000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T19:29:00+00:00,2026-02-03T19:29:00+00:00
527135,1770146760000,1770146760000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T19:26:00+00:00,2026-02-03T19:26:00+00:00
527134,1770146700000,1770148620000,Closed,COM Plumbing,Building Maintenance,Call Center,2,32.4074679,-86.2637891,2026-02-03T19:25:00+00:00,2026-02-03T19:57:00+00:00
527133,1770146640000,1770146640000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T19:24:00+00:00,2026-02-03T19:24:00+00:00
527131,1770146520000,1770229080000,Closed,Nuisance,Code Enforcement,Call Center,4,32.3644068,-86.3606,2026-02-03T19:22:00+00:00,2026-02-04T18:18:00+00:00
527132,1770146520000,1770229200000,Closed,Nuisance,Code Enforcement,Call Center,4,32.3642071,-86.3604133,2026-02-03T19:22:00+00:00,2026-02-04T18:20:00+00:00
527130,1770146460000,1770146460000,Closed,Inquiries(Sanitation Department),Sanitation Department,Call Center,7,32.3581548,-86.2744412,2026-02-03T19:21:00+00:00,2026-02-03T19:21:00+00:00
527129,1770146400000,1770395880000,Closed,General Repairs,Code Enforcement,Call Center,6,32.3072817,-86.2485558,2026-02-03T19:20:00+00:00,2026-02-06T16:38:00+00:00
527128,1770146100000,1770229140000,Closed,Nuisance,Code Enforcement,Call Center,4,32.364566,-86.3608481,2026-02-03T19:15:00+00:00,2026-02-04T18:19:00+00:00
527127,1770146040000,1770229080000,Closed,Nuisance,Code Enforcement,Call Center,4,32.3642165,-86.3619607,2026-02-03T19:14:00+00:00,2026-02-04T18:18:00+00:00
527125,1770145980000,1770229080000,Closed,Nuisance,Code Enforcement,Call Center,4,32.3611743,-86.3591695,2026-02-03T19:13:00+00:00,2026-02-04T18:18:00+00:00
527126,1770145980000,,In Progress,Nuisance,Code Enforcement,Call Center,4,32.3610033,-86.359739,2026-02-03T19:13:00+00:00,
527124,1770145920000,1770145920000,Closed,Duplicated Service Request(Property Maintenance Department),Code Enforcement,Call Center,4,32.361076,-86.3597407,2026-02-03T19:12:00+00:00,2026-02-03T19:12:00+00:00
527123,1770145860000,1770145860000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-03T19:11:00+00:00,2026-02-03T19:11:00+00:00
527122,1770145740000,1770145740000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-03T19:09:00+00:00,2026-02-03T19:09:00+00:00
527121,1770145200000,1770145200000,Closed,Ask 3-1-1,FAQ,Call Center,3,32.3879413,-86.298229,2026-02-03T19:00:00+00:00,2026-02-03T19:00:00+00:00
527120,1770144600000,,Open,Traffic Issues for Montgomery Police Dept,Police Department,Call Center,5,32.3303511,-86.257906,2026-02-03T18:50:00+00:00,
527119,1770144300000,1770151140000,Closed,Repair Inlets,Street Maintenance,Call Center,2,32.3925123,-86.2589036,2026-02-03T18:45:00+00:00,2026-02-03T20:39:00+00:00
527118,1770142440000,1770142440000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T18:14:00+00:00,2026-02-03T18:14:00+00:00
527117,1770140580000,1770140580000,Closed,FAQ-Municipal Court,FAQ,Call Center,,0.0,0.0,2026-02-03T17:43:00+00:00,2026-02-03T17:43:00+00:00
527116,1770139620000,,Open,Tree Issues On City R.O.W.,Urban Forestry,Call Center,4,32.2677392,-86.3563535,2026-02-03T17:27:00+00:00,
527115,1770139440000,1770139440000,Closed,FAQ- Montgomery Police Department,FAQ,Call Center,,0.0,0.0,2026-02-03T17:24:00+00:00,2026-02-03T17:24:00+00:00
527114,1770137520000,1770137520000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T16:52:00+00:00,2026-02-03T16:52:00+00:00
527113,1770137220000,1770140160000,Closed,Install a New Street Light,Traffic Engineering,Control Panel,7,32.353741,-86.2866909,2026-02-03T16:47:00+00:00,2026-02-03T17:36:00+00:00
527112,1770136860000,1770136860000,Closed,Inquiries(Land Use),Planning Department,Call Center,,0.0,0.0,2026-02-03T16:41:00+00:00,2026-02-03T16:41:00+00:00
527111,1770136740000,1770136740000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T16:39:00+00:00,2026-02-03T16:39:00+00:00
527110,1770136440000,1770136440000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T16:34:00+00:00,2026-02-03T16:34:00+00:00
527109,1770135720000,1770208920000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.3872602,-86.2980451,2026-02-03T16:22:00+00:00,2026-02-04T12:42:00+00:00
527108,1770135540000,,Open,Leaves and Debris Pick up,Sanitation Department,Call Center,5,32.3484506,-86.2406896,2026-02-03T16:19:00+00:00,
527107,1770135360000,,Open,Traffic Issues for Montgomery Police Dept,Police Department,Call Center,6,32.3042407,-86.2664662,2026-02-03T16:16:00+00:00,
527106,1770135360000,1770314160000,Closed,Fallen Trees and Limbs,Street Maintenance,Call Center,7,32.3463265,-86.2826927,2026-02-03T16:16:00+00:00,2026-02-05T17:56:00+00:00
527105,1770135180000,1770135240000,Closed,COM Electrical,Building Maintenance,Control Panel,3,32.3765291,-86.3083342,2026-02-03T16:13:00+00:00,2026-02-03T16:14:00+00:00
527104,1770135120000,1770140040000,Closed,Street Light Out,Traffic Engineering,Call Center,1,32.3876452,-86.1724616,2026-02-03T16:12:00+00:00,2026-02-03T17:34:00+00:00
527103,1770135060000,1770143700000,Closed,Utility Issues,Inspections Department,Call Center,7,32.3498653,-86.2657104,2026-02-03T16:11:00+00:00,2026-02-03T18:35:00+00:00
527102,1770135000000,1770143760000,Closed,Utility Issues,Inspections Department,Call Center,5,32.3469367,-86.2268619,2026-02-03T16:10:00+00:00,2026-02-03T18:36:00+00:00
527101,1770134580000,1770232020000,Closed,Parking On Front Lawn,Code Enforcement,Call Center,2,32.3864487,-86.2614628,2026-02-03T16:03:00+00:00,2026-02-04T19:07:00+00:00
527100,1770134400000,1770226920000,Closed,Parking On Front Lawn,Code Enforcement,Website,8,32.3263739,-86.2257775,2026-02-03T16:00:00+00:00,2026-02-04T17:42:00+00:00
527099,1770133920000,1770133920000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T15:52:00+00:00,2026-02-03T15:52:00+00:00
527098,1770133860000,,Open,COM Irrigation Issues,Parks & Recreation,Call Center,3,32.3821668,-86.2911497,2026-02-03T15:51:00+00:00,
527097,1770133740000,,Open,Grass Issues On City Owned Property ***FOR PHILLIP TAUNTON CREW ONLY***,Parks & Recreation,Call Center,3,32.3706656,-86.2953823,2026-02-03T15:49:00+00:00,
527096,1770133680000,,Open,Grass Issues On City Owned Property ***FOR PHILLIP TAUNTON CREW ONLY***,Parks & Recreation,Call Center,3,32.3708784,-86.2953934,2026-02-03T15:48:00+00:00,
527095,1770133500000,1770222840000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.3819047,-86.2979896,2026-02-03T15:45:00+00:00,2026-02-04T16:34:00+00:00
527094,1770133440000,,In Progress,General Repairs,Code Enforcement,Call Center,3,32.3924583,-86.277124,2026-02-03T15:44:00+00:00,
527093,1770133320000,1770399960000,Closed,Pothole Repairing,Street Maintenance,Call Center,6,32.3156608,-86.2079072,2026-02-03T15:42:00+00:00,2026-02-06T17:46:00+00:00
527092,1770133260000,,Open,Leaves and Debris Pick up,Sanitation Department,Call Center,8,32.3250348,-86.2241543,2026-02-03T15:41:00+00:00,
527091,1770133200000,1770133200000,Closed,Fire Duplicated Service Request,Building Maintenance,Call Center,4,32.3497188,-86.3090106,2026-02-03T15:40:00+00:00,2026-02-03T15:40:00+00:00
527090,1770132420000,1770386220000,Closed,General Repairs,Code Enforcement,Call Center,3,32.3862482,-86.2735342,2026-02-03T15:27:00+00:00,2026-02-06T13:57:00+00:00
527089,1770132300000,1770294060000,Closed,Fire Plumbing,Building Maintenance,Call Center,5,32.3298487,-86.2460163,2026-02-03T15:25:00+00:00,2026-02-05T12:21:00+00:00
527088,1770132240000,1770140040000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.3819047,-86.2979896,2026-02-03T15:24:00+00:00,2026-02-03T17:34:00+00:00
527087,1770132180000,1770315300000,Closed,No Utilities(House),Code Enforcement,Call Center,3,32.3759269,-86.2874235,2026-02-03T15:23:00+00:00,2026-02-05T18:15:00+00:00
527086,1770132180000,1770148620000,Closed,Stop Sign or Yield Sign Missing/Damaged,Traffic Engineering,Call Center,7,32.341851,-86.292283,2026-02-03T15:23:00+00:00,2026-02-03T19:57:00+00:00
527085,1770132120000,1770315300000,Closed,Nuisance,Code Enforcement,Call Center,3,32.3759269,-86.2874235,2026-02-03T15:22:00+00:00,2026-02-05T18:15:00+00:00
527084,1770131520000,1770153840000,Closed,COM HVAC/Refrigeration,Building Maintenance,Call Center,3,32.3792646,-86.2983626,2026-02-03T15:12:00+00:00,2026-02-03T21:24:00+00:00
527083,1770131460000,,In Progress,COM Barricade Request / Barricade Pickup,Street Maintenance,Control Panel,,0.0,0.0,2026-02-03T15:11:00+00:00,
527082,1770131280000,1770131280000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T15:08:00+00:00,2026-02-03T15:08:00+00:00
527081,1770130920000,1770216000000,Closed,Business in Residential District,Planning Department,Call Center,5,32.3207267,-86.28698119,2026-02-03T15:02:00+00:00,2026-02-04T14:40:00+00:00
527080,1770130800000,1770130800000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T15:00:00+00:00,2026-02-03T15:00:00+00:00
527078,1770130380000,,In Progress,Fire Hvac/Refrigeration,Building Maintenance,Call Center,8,32.3209058,-86.1437335,2026-02-03T14:53:00+00:00,
527079,1770130380000,1770226620000,Closed,Parking On Front Lawn,Code Enforcement,Website,7,32.3411035,-86.2673697,2026-02-03T14:53:00+00:00,2026-02-04T17:37:00+00:00
527077,1770130020000,1770136740000,Closed,Fire Plumbing,Building Maintenance,Control Panel,5,32.32881,-86.2438365,2026-02-03T14:47:00+00:00,2026-02-03T16:39:00+00:00
527076,1770129960000,1770129960000,Closed,Inquiries(Street Maintenance Department),Street Maintenance,Call Center,,0.0,0.0,2026-02-03T14:46:00+00:00,2026-02-03T14:46:00+00:00
527075,1770128340000,1770232080000,Closed,Nuisance,Code Enforcement,Call Center,2,32.3866035,-86.2614697,2026-02-03T14:19:00+00:00,2026-02-04T19:08:00+00:00
527074,1770128280000,1770148560000,Closed,Stop Sign or Yield Sign Missing/Damaged,Traffic Engineering,Call Center,7,32.341851,-86.292283,2026-02-03T14:18:00+00:00,2026-02-03T19:56:00+00:00
527073,1770128280000,1770139200000,Closed,COM Carpentry,Building Maintenance,Control Panel,3,32.3765291,-86.3083342,2026-02-03T14:18:00+00:00,2026-02-03T17:20:00+00:00
527072,1770128160000,1770128160000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T14:16:00+00:00,2026-02-03T14:16:00+00:00
527071,1770128040000,1770139980000,Closed,Street Light Out,Traffic Engineering,Call Center,1,32.3880563,-86.1718194,2026-02-03T14:14:00+00:00,2026-02-03T17:33:00+00:00
527070,1770127920000,1770129540000,Closed,Fire Plumbing,Building Maintenance,Call Center,7,32.35309,-86.309229,2026-02-03T14:12:00+00:00,2026-02-03T14:39:00+00:00
527069,1770127500000,1770127500000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T14:05:00+00:00,2026-02-03T14:05:00+00:00
527068,1770127260000,1770225840000,Closed,COM HVAC/Refrigeration,Building Maintenance,Call Center,3,32.3872602,-86.2980451,2026-02-03T14:01:00+00:00,2026-02-04T17:24:00+00:00
527067,1770126120000,1770138840000,Closed,COM Plumbing,Building Maintenance,Call Center,3,32.3872602,-86.2980451,2026-02-03T13:42:00+00:00,2026-02-03T17:14:00+00:00
527066,1770126000000,1770126000000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-03T13:40:00+00:00,2026-02-03T13:40:00+00:00
527065,1770072600000,1770314100000,Closed,Curb/Gutter Clean up (dirt/debris),Street Maintenance,Call Center,7,32.3559609,-86.2953438,2026-02-02T22:50:00+00:00,2026-02-05T17:55:00+00:00
527064,1770072540000,1770072540000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-02T22:49:00+00:00,2026-02-02T22:49:00+00:00
527063,1770072180000,1770132840000,Closed,COM Carpentry,Building Maintenance,Call Center,3,32.3738883,-86.3037868,2026-02-02T22:43:00+00:00,2026-02-03T15:34:00+00:00
527062,1770072120000,1770139200000,Closed,Fire Carpentry,Building Maintenance,Call Center,5,32.356549,-86.2417394,2026-02-02T22:42:00+00:00,2026-02-03T17:20:00+00:00
527061,1770071160000,1770129600000,Closed,COM Electrical,Building Maintenance,Call Center,3,32.3738883,-86.3037868,2026-02-02T22:26:00+00:00,2026-02-03T14:40:00+00:00
527060,1770071040000,,Open,Leaves and Debris Pick up,Sanitation Department,Call Center,2,32.4290231,-86.2776757,2026-02-02T22:24:00+00:00,
527059,1770070860000,1770070860000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-02T22:21:00+00:00,2026-02-02T22:21:00+00:00
527058,1770070740000,1770070740000,Closed,Ask 3-1-1,FAQ,Call Center,,0.0,0.0,2026-02-02T22:19:00+00:00,2026-02-02T22:19:00+00:00
527057,1770070680000,1770209280000,Closed,Request A New Container,Sanitation Department,Call Center,7,32.3283042,-86.2911446,2026-02-02T22:18:00+00:00,2026-02-04T12:48:00+00:00
527056,1770070620000,1770125400000,Closed,Traffic Calming Request,Traffic Engineering,Call Center,6,32.3218512,-86.2429578,2026-02-02T22:17:00+00:00,2026-02-03T13:30:00+00:00
